collection_week,bed_availability,total_occupancy,covid_occupancy,covid_rato,total_ratio
2020-07-31,60201.6,42903.1,7462.9,0.12396514378355392,0.7126571386806995
2020-08-07,59538.2,42066.2,6655.3,0.11178201557991341,0.7065413465640547
2020-08-14,60508.3,43090.1,6261.2,0.10347671311208544,0.712135359942355
2020-08-21,60925.3,42931.7,5554.5,0.0911690217364543,0.7046612819304952
2020-08-28,60667.6,42253.6,4689.8,0.07730320632429831,0.6964771970541113
2020-09-04,60149.3,41812.2,4137.6,0.06878883046020486,0.6951402593213886
2020-09-11,60252.7,42024.5,3538.0,0.05871936029422748,0.6974708187350941
2020-09-18,60366.7,42159.8,3338.6,0.05530532561826305,0.6983949760381138
2020-09-25,60436.3,42185.9,3064.7,0.050709590097342154,0.6980225460526207
2020-10-02,60783.4,42486.3,3044.6,0.050089333600950255,0.6989786685180494
2020-10-09,60516.4,42600.8,2922.7,0.04829599910107012,0.7039546304803327
2020-10-16,64722.2,42719.2,2885.2,0.04457821273071682,0.6600393682538603
2020-10-23,70939.2,42681.3,2848.2,0.04014987482238311,0.6016602950131945
2020-10-30,61646.2,43266.6,3202.6,0.051951296268058694,0.7018534800198553
2020-11-06,62407.4,44128.9,3689.7,0.05912279633505001,0.7071100542563863
2020-11-13,62621.1,44791.6,4769.0,0.07615643928324478,0.7152796741034572
2020-11-20,62750.1,44641.7,6501.2,0.10360461576953663,0.7114203802065654
2020-11-27,62951.3,44850.2,8807.9,0.13991609386938791,0.7124586783751884
2020-12-04,62964.9,47564.6,11369.8,0.18057362117624262,0.7554145246002137
2020-12-11,63149.6,48606.6,15095.6,0.2390450612513777,0.7697055880005574
2020-12-18,63529.5,49629.6,18586.1,0.29255857515012706,0.7812055816589143
2020-12-25,63984.2,49715.0,20706.2,0.32361426727223286,0.776988694083852
2021-01-01,64809.4,51308.2,21995.9,0.33939366820245215,0.7916783676441997
2021-01-08,64721.8,53133.6,23391.8,0.36142072686482757,0.8209536817579238
2021-01-15,64246.7,52464.1,20600.9,0.3206530452147737,0.8166038100011362
2021-01-22,63535.6,51166.6,17818.5,0.280449071071966,0.805321740882277
2021-01-29,62508.3,49566.8,14661.4,0.23455125159378834,0.7929634944479373
2021-02-05,61355.8,47739.9,11776.1,0.19193132515589398,0.7780829196261804
2021-02-12,60373.8,45664.3,8957.6,0.1483689944976132,0.7563595466907831
2021-02-19,59933.4,44779.3,6807.6,0.11358608054940984,0.7471510042814191
2021-02-26,59555.9,44089.1,5089.7,0.0854608863269634,0.7402977706658785
2021-03-05,59090.2,43416.1,3955.2,0.06693495706563864,0.7347428169138029
2021-03-12,59196.8,43179.9,3353.1,0.05664326450078382,0.7294296313314234
2021-03-19,59208.3,43733.9,2789.0,0.047104882254683886,0.7386447508204086
2021-03-26,59067.5,43316.2,2386.4,0.04040123587421171,0.7333338976594573
2021-04-02,58821.2,42719.3,2109.4,0.03586122010431613,0.726256859771647
2021-04-09,58866.1,43046.9,1937.6,0.032915379140116295,0.7312680812895708
2021-04-16,58765.3,43378.3,1900.1,0.03233370713669461,0.7381618063721278
2021-04-23,59110.0,43241.5,1833.7,0.03102182371849095,0.7315428861444764
2021-04-30,58826.9,43516.9,1669.7,0.02838327363842052,0.7397449126165071
2021-05-07,57472.4,42420.4,1543.5,0.026856369318142274,0.7381003751365873
2021-05-14,58773.1,43471.4,1383.9,0.023546486402793117,0.7396479001447942
2021-05-21,58747.4,43511.5,1186.7,0.020200042895515375,0.7406540544773045
2021-05-28,58670.6,42911.8,1039.8,0.017722675411534907,0.7314020991774416
2021-06-04,58940.5,43650.1,1000.1999999999999,0.016969655839363426,0.740579058542089
2021-06-11,59215.4,44060.3,890.4,0.015036628985027542,0.7440682660253921
2021-06-18,58708.1,44336.3,915.5,0.015594100303024626,0.7551990270507818
2021-06-25,59032.3,44188.4,971.1,0.0164503161828355,0.7485461349125817
2021-07-02,58720.2,43310.7,1173.9,0.019991416922966885,0.7375775286868914
2021-07-09,59475.0,44915.7,1609.1,0.027055065153425806,0.755203026481715
2021-07-16,59368.7,45241.9,2274.0,0.03830301151953808,0.7620496995891776
2021-07-23,59554.0,45735.9,3395.8,0.057020519192665486,0.7679736037881587
2021-07-30,59921.9,46260.2,4871.4,0.08129582005911026,0.7720082307136455
2021-08-06,60235.7,47258.3,6496.9,0.10785796462894928,0.7845563345325115
2021-08-13,60749.1,48108.6,7667.0,0.1262076310595548,0.7919228433013822
2021-08-20,61107.9,48467.8,8413.6,0.13768432559456306,0.793151131032158
2021-08-27,60965.4,48394.9,8533.3,0.13996955650254078,0.7938092754250772
2021-09-03,60396.4,47245.1,7929.4,0.13128928214264426,0.7822502665721798
2021-09-10,60732.9,48074.1,7039.3,0.1159058763866043,0.7915660210528396
2021-09-17,60598.4,47551.1,6227.8,0.10277169034165919,0.784692335111158
2021-09-24,60272.7,46990.9,5458.0,0.09055509376550246,0.7796382109976823
2021-10-01,60059.3,46391.2,4581.1,0.0762762802763269,0.7724232550162922
2021-10-08,59956.6,46060.7,4032.2,0.06725197893142706,0.7682340226096877
2021-10-15,60105.7,46490.6,3803.4,0.06327852433296677,0.7734807181348857
2021-10-22,60890.2,46966.5,3918.3,0.064350256691553,0.7713310187846321
2021-10-29,60332.6,47203.8,4064.1,0.06736159224034767,0.7823929351627479
2021-11-05,60457.2,47184.1,3813.0,0.06306941108751316,0.7804546025948936
2021-11-12,59943.7,46860.6,3545.3,0.059143829960446224,0.7817435360179635
2021-11-19,59460.0,46073.9,3239.8,0.054487050117726206,0.7748721829801547
2021-11-26,59626.5,45518.1,3287.4,0.055133204196120854,0.7633870846016452
